,Wavelength (nm),Diode conver (mA/W),Energy (J),Intensity (pA),Exptime (s),Flux (e/s),Median counts (ADU),PRNU (ADU),QE (%)
0,350.0,0.0570727610762076,5.67942857142857e-19,5.830000000000001e-09,10,168.94380151068884,236.0,7.599162292205244,14.759795729127326
1,375.0,0.058956962458282636,5.3008e-19,1.275e-08,10,383.2135873029184,1270.0,2.3318148807041656,35.01655589626273
2,400.0,0.06995047122748378,4.9695e-19,2.822e-08,10,762.5369673243495,4322.0,1.116985798629696,59.887263118845745
3,425.0,0.0794263948807375,4.677176470588235e-19,5.5730000000000003e-08,10,1409.118994511493,9777.0,0.7238050311324279,73.31090021663705
4,450.0,0.08751893508091571,4.417333333333333e-19,8.883000000000001e-08,10,2158.2646519466225,16330.0,0.5630542555298672,79.94514474597774
5,475.0,0.09554029010989198,4.184842105263158e-19,1.2685e-07,5,2980.1084719705336,11472.0,0.6726615516837634,81.34814765306201
6,500.0,0.10354431657810073,3.9755999999999994e-19,1.6898e-07,5,3855.7919361913864,14827.0,0.5975213016033439,81.26065129683589
7,525.0,0.11070210535474305,3.786285714285714e-19,2.175e-07,5,4874.1313759201585,18255.0,0.574337078621198,79.14531436427968
8,550.0,0.11553615179918846,3.614181818181818e-19,2.567e-07,5,5774.377952634519,19967.0,0.5834863483151693,73.07153211325415
9,575.0,0.12155019797964409,3.4570434782608697e-19,2.99e-07,2,6683.7147874571865,8517.0,0.8094447058767262,67.32081249852139
10,600.0,0.12737950491914388,3.3129999999999997e-19,3.3e-07,2,7345.141730565254,8569.0,0.8065493841072008,61.632611950315884
11,625.0,0.13404117251148984,3.18048e-19,3.59e-07,2,7909.896382763696,8419.0,0.7845922254721879,56.23029031950436
12,650.0,0.14005849230048503,3.058153846153846e-19,3.8e-07,2,8333.396634904742,7756.0,0.8651249960569567,49.16956409871924
13,675.0,0.15015271717660458,2.944888888888889e-19,3.9880000000000005e-07,2,8471.499186012674,7033.0,0.8851871323766439,43.85922513142341
14,700.0,0.1692690430713416,2.839714285714285e-19,4.3260000000000005e-07,5,8453.597436453509,14811.0,0.5914438089079191,37.02400715822415
15,725.0,0.19400198133864188,2.7417931034482757e-19,4.7600000000000003e-07,5,8405.689443179548,12852.0,0.796362589419095,32.3100759117825
16,750.0,0.2177867998731793,2.6504e-19,2.503e-07,10,4073.10031324937,10608.0,0.8236556801105468,27.518135911212898
17,775.0,0.23831269813228276,2.5649032258064513e-19,2.947e-07,10,4528.654630536985,9842.0,0.7431788275397953,22.96279590383984
18,800.0,0.25274619607080706,2.48475e-19,3.216e-07,10,4810.120383699708,8794.0,0.8711399130422729,19.317064145603048
19,825.0,0.26719137785581504,2.4094545454545455e-19,3.5710000000000004e-07,10,5210.2181305001395,7829.0,0.8999754848845688,15.876727601049481
20,850.0,0.2844555854597309,2.3385882352941175e-19,4.0500000000000004e-07,10,5718.656749663536,7258.0,1.4078099717443542,13.410147060236133
21,875.0,0.30272302889696007,2.2717714285714284e-19,4.6080000000000005e-07,10,6293.751769083381,6817.0,1.3620410808427141,11.444433247879775
22,900.0,0.3205817876026816,2.2086666666666666e-19,5.187000000000001e-07,10,6881.045947190294,5758.0,1.2056241442080535,8.841537822435573
23,925.0,0.3418415517489376,2.148972972972973e-19,6.044e-07,10,7728.1560648599325,4405.0,1.5151617333862468,6.0225530656184505
24,950.0,0.36245161427044137,2.092421052631579e-19,6.626e-07,10,8206.529691250436,4165.0,1.4741103489980751,5.362484711036798
25,975.0,0.3704468726538998,2.0387692307692307e-19,7.036e-07,10,8750.624745478528,2738.0,2.258906360416704,3.3060162950020295
26,1000.0,0.37230799525907304,1.9877999999999997e-19,6.95e-07,20,8820.98306863081,3561.0,2.4222039400528184,2.132728614671302
27,1025.0,0.3432165877065137,1.9393170731707314e-19,6.268e-07,20,8845.433678937556,2609.0,1.5396775513284309,1.5582443439512113
28,1050.0,0.2812400796040387,1.893142857142857e-19,4.885000000000001e-07,20,8618.093499890954,878.0,3.1421720569394544,0.5382250726403341
29,1075.0,0.2029287476190907,1.8491162790697673e-19,3.3160000000000003e-07,20,8300.685465485421,494.0,4.264453756481143,0.3144080101398444
30,1100.0,0.13593389994718602,1.807090909090909e-19,2.154e-07,20,8236.546483387036,221.0,8.355136444888682,0.14175152199467494
