Wavelength (nm),QE (%)
206.9891,5.0621
221.9983,5.1205
237.0076,5.3541
252.0168,6.2237
266.2914,7.5033
275.2129,9.2915
281.8079,10.9154
288.8577,12.6603
300.4557,15.8408
303.8669,18.4819
311.5990,26.4967
309.3248,22.1836
317.7846,29.5414
325.0163,32.3479
337.9789,38.3873
340.9352,40.1464
343.6642,41.8477
346.3931,43.5608
349.1221,45.2740
351.8510,46.9396
354.5800,48.6647
357.5363,50.4373
359.8105,52.3884
362.7668,54.4228
363.9039,56.1860
365.2684,57.8278
366.4054,59.7170
369.3618,62.2927
366.6329,60.9543
370.7263,64.6233
372.0908,66.4079
373.4552,68.1924
374.8197,69.9485
376.6390,71.8044
377.5487,73.7912
378.9131,75.6305
381.6421,77.6577
384.3711,80.1051
387.8797,82.1854
389.8290,83.9988
393.9224,85.9856
398.6006,87.7940
402.8890,89.4766
408.2494,91.1846
419.8474,92.2846
434.8567,92.2392
449.8659,91.3112
464.8752,90.2859
479.8844,89.5915
494.2114,89.1859
512.6318,88.5467
527.6411,88.3456
542.6503,88.6506
557.6596,88.8712
572.6688,89.1892
587.6781,89.6694
602.6873,90.2015
617.6965,90.7791
632.7058,91.4020
647.7150,91.8758
662.7243,92.3430
677.7335,92.7648
692.7427,93.1412
708.6966,93.2410
722.7612,93.6677
737.7705,93.7539
752.7797,94.1062
767.7890,94.0756
782.9801,94.0058
797.8074,93.3294
812.8167,92.6739
827.8259,91.7070
842.1529,90.3637
855.4187,89.1344
867.1228,87.8868
873.5359,85.7834
901.3712,79.3994
906.8291,77.6434
912.4235,76.2236
923.8851,72.0399
926.4581,70.6113
932.8906,67.4739
941.0775,63.7977
953.3578,58.2275
959.9527,55.0058
967.6090,51.5715
971.0960,50.0022
974.4313,48.0341
977.9183,45.8124
981.3295,44.3223
984.0585,42.6359
986.7874,41.0472
990.1986,39.3561
992.7002,37.7154
996.8504,36.0486
1000.1398,33.9718
1003.1612,32.2864
1006.4018,30.5366
1009.3013,28.9833
1012.6150,27.3231
1016.1237,25.4094
1019.5349,23.9189
1023.3359,22.0306
1026.3573,20.3260
1030.8297,18.4026
1035.2264,16.4118
1039.3198,14.8771
1043.9980,12.9651
1048.2863,11.1092
1053.6468,9.2915
1059.0072,7.4789
1063.5392,5.9900
1071.3850,4.2947
1081.6186,2.2986
1093.8988,0.7402
1102.0857,0.2081
887.1336,82.7435
328.5016,35.1491
